# ===File generated by myModules.saveDict===
# Date: 2019-06-25 12:21:57.988344
# Obs.: 
#H z(mm), Bz(G)
-23.483483483483482, 45.028528528528525
-23.41841841841842, 44.94394394394394
-23.353353353353352, 44.85935935935936
-23.288288288288285, 44.77477477477477
-23.223223223223222, 44.69019019019019
-23.15815815815816, 44.605605605605604
-23.093093093093092, 44.52102102102102
-23.028028028028025, 44.43643643643643
-22.962962962962962, 44.35185185185185
-22.8978978978979, 44.26726726726727
-22.832832832832832, 44.18268268268268
-22.767767767767765, 44.09809809809809
-22.7027027027027, 44.013513513513516
-22.63763763763764, 43.92892892892893
-22.57257257257257, 43.84434434434434
-22.507507507507505, 43.75975975975976
-22.44244244244244, 43.67517517517518
-22.37737737737738, 43.590590590590594
-22.31231231231231, 43.506006006006004
-22.247247247247245, 43.42142142142142
-22.18218218218218, 43.33683683683684
-22.117117117117118, 43.252252252252255
-22.05205205205205, 43.167667667667665
-21.986986986986985, 43.08308308308308
-21.92192192192192, 42.9984984984985
-21.856856856856858, 42.913913913913916
-21.79179179179179, 42.829329329329326
-21.726726726726724, 42.74474474474474
-21.66166166166166, 42.66016016016016
-21.596596596596598, 42.57557557557558
-21.53153153153153, 42.49099099099099
-21.466466466466464, 42.406406406406404
-21.4014014014014, 42.32182182182182
-21.336336336336338, 42.23723723723724
-21.27127127127127, 42.15265265265265
-21.206206206206204, 42.068068068068065
-21.14114114114114, 41.98348348348348
-21.076076076076077, 41.8988988988989
-21.01101101101101, 41.814314314314316
-20.945945945945944, 41.729729729729726
-20.88088088088088, 41.64514514514514
-20.815815815815817, 41.56056056056056
-20.75075075075075, 41.47597597597598
-20.685685685685684, 41.39139139139139
-20.62062062062062, 41.306806806806804
-20.555555555555557, 41.22222222222222
-20.49049049049049, 41.13763763763764
-20.425425425425423, 41.05305305305305
-20.36036036036036, 40.968468468468465
-20.295295295295293, 40.88388388388388
-20.230230230230227, 40.79929929929929
-20.165165165165163, 40.71471471471471
-20.1001001001001, 40.63013013013013
-20.035035035035033, 40.545545545545544
-19.969969969969966, 40.4129129129129
-19.904904904904903, 40.224224224224216
-19.83983983983984, 40.03553553553554
-19.774774774774773, 39.846846846846844
-19.709709709709706, 39.658158158158145
-19.644644644644643, 39.469469469469466
-19.57957957957958, 39.28078078078078
-19.514514514514513, 39.09209209209209
-19.449449449449446, 38.903403403403395
-19.384384384384383, 38.71471471471471
-19.31931931931932, 38.526026026026024
-19.254254254254253, 38.33733733733733
-19.189189189189186, 38.14864864864864
-19.124124124124123, 37.95995995995995
-19.05905905905906, 37.771271271271274
-18.993993993993993, 37.58258258258258
-18.92892892892893, 37.393893893893896
-18.863863863863862, 37.2052052052052
-18.7987987987988, 37.01651651651652
-18.733733733733732, 36.827827827827825
-18.66866866866867, 36.63913913913914
-18.603603603603602, 36.45045045045045
-18.53853853853854, 36.26176176176176
-18.473473473473472, 36.07307307307307
-18.40840840840841, 35.88438438438439
-18.343343343343342, 35.69569569569569
-18.278278278278275, 35.507007007007
-18.213213213213212, 35.31831831831832
-18.148148148148145, 35.12962962962962
-18.083083083083082, 34.94094094094094
-18.018018018018015, 34.75225225225225
-17.952952952952952, 34.56356356356356
-17.887887887887885, 34.37487487487487
-17.822822822822822, 34.186186186186184
-17.757757757757755, 33.99749749749749
-17.69269269269269, 33.808808808808806
-17.627627627627625, 33.62012012012011
-17.56256256256256, 33.43143143143143
-17.497497497497495, 33.242742742742735
-17.43243243243243, 33.05405405405405
-17.367367367367365, 32.865365365365356
-17.3023023023023, 32.67667667667668
-17.237237237237235, 32.48798798798798
-17.17217217217217, 32.2992992992993
-17.107107107107105, 32.11061061061061
-17.04204204204204, 31.92192192192192
-16.976976976976974, 31.73323323323323
-16.91191191191191, 31.544544544544543
-16.846846846846844, 31.35585585585585
-16.78178178178178, 31.167167167167165
-16.716716716716714, 30.978478478478472
-16.65165165165165, 30.789789789789786
-16.586586586586584, 30.601101101101094
-16.52152152152152, 30.41241241241241
-16.456456456456454, 30.223723723723715
-16.39139139139139, 30.035035035035033
-16.326326326326324, 29.84634634634634
-16.26126126126126, 29.65765765765766
-16.196196196196194, 29.468968968968962
-16.13113113113113, 29.28028028028028
-16.066066066066064, 29.091591591591587
-16.001001001001, 28.902902902902902
-15.935935935935934, 28.71421421421421
-15.87087087087087, 28.525525525525524
-15.805805805805804, 28.33683683683683
-15.74074074074074, 28.148148148148145
-15.675675675675674, 27.959459459459453
-15.61061061061061, 27.77077077077077
-15.545545545545544, 27.582082082082074
-15.48048048048048, 27.393393393393396
-15.415415415415413, 27.2047047047047
-15.35035035035035, 27.016016016016017
-15.285285285285283, 26.827327327327325
-15.22022022022022, 26.63863863863864
-15.155155155155153, 26.449949949949946
-15.09009009009009, 26.26126126126126
-15.025025025025023, 26.072572572572568
-14.95995995995996, 25.93093093093093
-14.894894894894893, 25.818693693693692
-14.82982982982983, 25.706456456456458
-14.764764764764763, 25.594219219219216
-14.6996996996997, 25.48198198198198
-14.634634634634633, 25.369744744744743
-14.56956956956957, 25.25750750750751
-14.504504504504503, 25.145270270270267
-14.43943943943944, 25.033033033033032
-14.374374374374373, 24.920795795795794
-14.30930930930931, 24.80855855855856
-14.244244244244243, 24.69632132132132
-14.17917917917918, 24.584084084084086
